gender,birth_year,c_educ,c_income,c_health,c_hukou,c_sc,p_sc,f_educ
2,1969,12,200000,4,5,6,5,12
2,1978,12,100000,5,2,6,4,4
1,1979,10,100000,5,4,5,7,4
2,1962,11,54000,4,5,3,3,4
2,1977,13,9999998,4,5,6,6,98
2,1974,12,70000,2,5,5,5,4
1,1973,12,200000,4,5,1,1,4
1,1975,13,240000,4,4,6,4,4
1,1961,9,9999999,4,5,6,5,12
2,1972,13,100000,5,5,7,5,9
1,1962,12,200000,5,5,5,6,4
1,1968,4,40000,5,1,2,4,4
2,1961,6,20000,2,5,3,1,98
2,1964,6,30000,3,5,4,1,98
2,1960,7,30000,3,5,3,3,3
2,1971,4,12000,3,5,2,6,4
2,1975,12,72000,4,5,6,6,4
2,1963,6,40000,3,1,3,5,98
2,1973,7,50000,5,3,5,2,1
2,1975,10,0,3,1,5,5,4
2,1965,12,85000,4,5,4,4,12
2,1973,6,800000,2,5,5,5,6
2,1969,6,50000,4,5,6,5,3
2,1974,6,40000,3,5,1,1,6
1,1977,4,50000,4,1,3,3,3
2,1970,1,0,4,5,5,5,3
1,1963,9,0,2,5,5,3,4
2,1970,4,60000,2,1,1,1,1
1,1971,9,60000,3,5,5,3,4
2,1968,4,10000,4,5,1,1,3
2,1963,4,20000,4,1,4,4,3
1,1978,13,9999999,4,5,3,2,4
2,1974,3,9999998,5,1,1,98,98
2,1963,6,30000,3,5,6,5,3
1,1975,4,80000,3,1,4,3,4
2,1969,11,200000,3,5,8,5,7
2,1967,9,50000,4,5,8,5,4
1,1967,12,100000,2,5,2,2,98
1,1978,13,120000,4,5,6,3,6
1,1969,1,50000,3,5,4,4,2
1,1972,6,200000,5,1,4,4,3
2,1963,9,300000,5,1,7,3,4
1,1968,4,20000,3,5,4,5,1
2,1964,6,20000,4,5,2,2,1
1,1969,10,100000,5,5,9,4,13
2,1973,4,9999999,3,1,5,1,1
2,1972,10,100000,3,1,4,5,4
1,1962,12,84000,4,5,4,4,9
2,1963,6,9999998,3,5,5,5,98
1,1975,10,30000,3,5,5,5,7
1,1977,12,200000,4,5,5,4,4
2,1977,13,200000,5,5,5,5,4
2,1967,4,20000,2,4,3,1,3
1,1962,12,250000,4,1,5,2,1
1,1976,12,100000,3,5,6,6,6
1,1973,11,150000,3,2,4,6,7
1,1966,11,80000,5,5,5,3,1
1,1962,9,9999999,4,5,5,4,1
2,1978,10,50000,5,5,5,3,6
1,1977,8,20000,4,2,3,5,3
1,1961,6,0,2,5,1,1,3
2,1978,3,45600,3,1,5,1,98
1,1972,7,48000,4,1,5,5,3
2,1972,13,100000,4,5,5,5,12
2,1960,6,9999999,4,5,4,4,98
2,1965,10,9999998,3,5,1,1,2
1,1967,10,104316,3,5,5,5,4
1,1967,6,48000,2,5,4,98,2
1,1977,10,9999998,4,5,5,7,12
1,1970,10,9999999,1,5,4,98,6
2,1960,6,50000,4,1,5,3,1
2,1969,6,20000,4,5,4,5,1
2,1968,4,30000,4,1,5,1,2
2,1967,12,9999999,4,5,5,3,2
1,1963,10,0,3,5,2,2,3
2,1965,6,20000,4,5,3,98,14
2,1971,1,40000,5,1,4,3,1
2,1977,10,12000,4,4,5,3,4
2,1976,4,20000,2,2,4,6,1
1,1965,12,450000,5,3,6,4,2
1,1979,12,120000,5,5,5,3,4
1,1960,6,0,3,5,1,1,2
1,1966,4,50000,1,2,1,1,2
2,1966,4,60000,3,1,4,9,2
2,1966,1,20000,5,1,6,3,2
2,1971,12,40000,3,1,5,3,3
2,1970,4,50000,4,5,5,3,3
1,1962,12,260000,4,5,7,5,10
2,1961,14,40000,3,5,5,4,3
2,1962,8,36000,3,4,2,2,3
2,1962,9,36000,2,5,2,1,3
2,1963,9,30000,5,5,5,4,3
1,1960,12,100000,3,5,6,5,98
2,1977,9,50000,5,5,4,2,6
1,1960,6,42000,3,1,6,4,1
2,1972,12,100000,5,3,8,7,6
1,1976,10,100000,5,3,5,3,4
1,1965,12,120000,3,3,5,3,12
1,1976,13,150000,5,5,6,6,6
2,1963,13,300000,3,5,7,7,6
2,1965,7,24000,3,1,4,4,2
1,1976,6,100000,4,1,10,1,3
2,1970,11,9999998,3,5,4,5,6
1,1968,13,9999999,3,5,6,3,4
1,1974,12,200000,4,5,4,8,12
1,1961,9,70000,4,5,5,5,3
2,1977,12,100000,4,5,5,3,6
1,1976,11,130000,4,5,5,5,7
1,1964,12,60000,4,5,6,5,3
2,1979,13,200000,4,3,6,5,9
2,1960,5,40000,3,5,4,5,2
2,1970,12,100000,4,5,5,5,7
1,1977,12,20000,4,5,2,2,4
1,1970,6,150000,4,5,3,3,4
1,1977,6,0,5,1,5,3,4
2,1972,3,0,3,1,2,1,1
2,1971,4,0,5,1,3,5,4
2,1976,4,0,5,1,8,1,3
1,1979,3,20000,3,1,5,1,3
2,1975,7,0,5,1,5,5,4
1,1962,4,30000,4,1,5,5,2
1,1960,3,17000,4,2,5,2,1
2,1972,4,80000,3,1,2,1,4
2,1965,3,0,5,1,5,3,3
2,1964,7,40000,3,5,3,5,4
2,1961,12,100000,3,4,6,8,99
1,1960,3,60000,5,1,6,2,98
1,1968,13,80000,5,1,5,5,4
2,1972,3,30000,3,1,3,3,3
1,1964,6,0,1,5,5,5,1
1,1972,6,0,4,5,3,7,98
2,1967,9,200000,3,5,6,6,98
2,1969,4,40000,4,5,4,4,3
2,1963,6,10000,2,5,5,5,3
1,1965,11,0,4,5,3,2,3
1,1963,6,50000,3,5,1,1,2
2,1972,12,100000,3,1,5,3,14
2,1979,6,9999999,4,2,4,3,4
2,1962,6,24000,3,5,4,2,2
1,1963,6,0,1,4,1,4,98
2,1978,4,36000,3,1,3,2,3
1,1964,6,30000,4,1,4,3,1
1,1975,7,50000,4,1,5,2,3
2,1965,4,24000,3,5,10,5,3
1,1973,4,30000,3,1,3,1,1
2,1976,4,0,3,98,3,3,98
1,1963,6,36000,4,5,5,5,3
2,1976,12,120000,4,5,7,8,12
2,1962,6,30000,3,3,3,2,1
2,1978,12,300000,4,5,5,5,12
1,1974,6,50000,4,1,4,3,4
1,1975,13,200000,4,1,3,1,3
2,1973,13,70000,4,3,4,3,3
1,1979,11,100000,2,5,5,5,4
1,1975,3,120000,4,1,5,3,4
1,1977,13,300000,4,1,4,1,1
2,1976,12,1000000,5,5,7,7,4
1,1962,9,50000,3,5,5,8,1
1,1969,1,20000,4,1,5,5,2
1,1976,5,50000,4,5,1,1,12
1,1978,12,250000,4,1,5,5,4
1,1975,9,50000,4,1,4,8,3
1,1966,4,31200,1,5,3,2,3
2,1976,5,40000,3,1,6,5,3
2,1973,4,9999999,5,4,6,4,3
1,1964,6,30000,3,4,1,5,3
2,1962,7,21576,2,4,4,3,2
2,1968,3,0,2,1,1,2,4
2,1976,7,100000,5,1,2,3,12
1,1978,4,80000,3,1,4,2,3
2,1978,12,80000,4,5,6,8,10
2,1966,4,19200,5,4,1,1,3
1,1974,10,130000,3,5,5,5,9
1,1966,4,31350,4,5,1,1,12
2,1962,6,20000,4,1,4,4,3
1,1965,12,0,1,1,1,1,1
1,1974,9,50000,4,1,2,8,3
2,1960,9,36000,5,5,3,3,3
2,1978,9,36000,4,5,5,3,4
1,1963,6,40000,3,2,3,5,1
1,1960,6,40000,4,5,6,3,3
1,1971,7,1000000,5,2,5,2,3
1,1974,11,100000,4,1,2,1,3
2,1962,6,50000,3,1,2,5,2
1,1960,4,48000,4,1,6,2,3
1,1978,12,40000,4,3,5,4,7
2,1974,12,70000,3,1,6,3,4
1,1967,10,200000,4,2,2,6,2
1,1965,4,9999998,3,1,5,2,3
1,1972,13,90000,3,2,2,2,12
1,1967,9,100000,5,1,6,3,6
